Date,Open,High,Low,Close,Volume,Adj Close
2016-01-07,166.669998,169.50,163.600006,164.619995,5604400,164.619995
2016-01-06,171.309998,172.020004,169.100006,169.839996,5507300,169.839996
2016-01-05,176.710007,177.50,172.919998,174.089996,4504900,174.089996
2016-01-04,175.789993,177.190002,173.759995,177.139999,3694800,177.139999
2015-12-31,181.160004,182.889999,180.029999,180.229996,1683600,180.229996
2015-12-30,183.279999,183.529999,181.839996,182.009995,1495000,182.009995
2015-12-29,182.820007,184.179993,182.50,183.529999,1846200,183.529999
2015-12-28,181.770004,181.929993,179.839996,181.619995,1718000,181.619995
2015-12-24,182.270004,183.169998,182.020004,182.470001,1107600,182.470001
2015-12-23,180.699997,183.00,180.460007,182.949997,2306400,182.949997
2015-12-22,178.899994,180.690002,177.050003,180.050003,2291200,180.050003
2015-12-21,177.50,178.149994,175.830002,177.75,2452100,177.75
2015-12-18,181.199997,181.899994,175.389999,175.490005,6577400,175.490005
2015-12-17,186.880005,187.889999,182.610001,182.610001,2795100,182.610001
2015-12-16,184.009995,186.880005,181.679993,186.210007,3168000,186.210007
2015-12-15,178.979996,183.279999,178.850006,182.009995,3393100,182.009995
2015-12-14,176.669998,178.630005,172.899994,176.399994,5052300,176.399994
2015-12-11,179.679993,180.149994,175.470001,176.559998,3738100,176.559998
2015-12-10,180.990005,183.929993,180.309998,182.110001,2188000,182.110001
2015-12-09,182.020004,184.850006,179.830002,180.710007,3907500,180.710007
2015-12-08,183.919998,184.470001,181.839996,182.919998,2663800,182.919998
2015-12-07,190.00,190.119995,185.00,185.490005,3499900,185.490005
2015-12-04,185.610001,190.619995,184.75,189.990005,3517200,189.990005
2015-12-03,190.660004,191.649994,184.729996,185.199997,3599000,185.199997
2015-12-02,193.300003,193.839996,189.800003,190.259995,1817200,190.259995
2015-12-01,191.220001,193.149994,190.009995,193.070007,4140900,193.070007
2015-11-30,190.50,191.080002,189.240005,190.020004,3415000,190.020004
2015-11-27,189.160004,191.190002,188.850006,190.470001,1092700,189.820002
2015-11-25,188.990005,189.770004,188.149994,189.149994,1495600,188.5045
2015-11-24,188.020004,189.800003,186.559998,188.669998,2679400,188.026142
2015-11-23,191.300003,191.490005,188.520004,189.190002,2671700,188.544372
2015-11-20,193.00,193.490005,191.110001,191.470001,2932100,190.81659
