Date,Open,High,Low,Close,Volume,Adj Close
2016-01-07,99.309998,100.089996,98.879997,99.220001,9352200,99.220001
2016-01-06,99.82,100.970001,99.599998,100.389999,7686800,100.389999
2016-01-05,100.580002,101.440002,100.57,100.900002,6453700,100.900002
2016-01-04,101.709999,101.809998,99.449997,100.480003,12660400,100.480003
2015-12-31,103.370003,103.620003,102.690002,102.720001,4566800,102.720001
2015-12-30,104.110001,104.339996,103.529999,103.779999,3838700,103.779999
2015-12-29,103.339996,104.190002,103.339996,104.029999,4220100,104.029999
2015-12-28,103.18,103.470001,102.93,103.220001,4061400,103.220001
2015-12-24,103.120003,103.910004,103.010002,103.720001,2546300,103.720001
2015-12-23,103.110001,103.669998,102.739998,103.489998,5463000,103.489998
2015-12-22,101.910004,102.879997,101.150002,102.709999,5553600,102.709999
2015-12-21,102.339996,102.919998,100.849998,101.580002,8142900,101.580002
2015-12-18,103.080002,103.080002,101.949997,101.949997,14069300,101.949997
2015-12-17,105.160004,105.260002,103.629997,103.639999,8712800,103.639999
2015-12-16,104.639999,105.489998,103.519997,105.25,8121500,105.25
2015-12-15,102.650002,104.690002,102.650002,104.129997,9203600,104.129997
2015-12-14,101.650002,102.290001,100.779999,102.150002,10561800,102.150002
2015-12-11,102.370003,102.370003,101.43,101.68,7732700,101.68
2015-12-10,102.300003,103.339996,101.800003,102.639999,6462500,102.639999
2015-12-09,102.139999,103.339996,101.669998,102.150002,7947000,102.150002
2015-12-08,102.980003,103.239998,101.910004,102.419998,8005400,102.419998
2015-12-07,102.610001,103.489998,102.599998,103.32,7262900,103.32
2015-12-04,101.400002,103.00,101.279999,102.949997,7845400,102.949997
2015-12-03,102.269997,102.370003,100.309998,100.790001,12008700,100.790001
2015-12-02,102.50,102.93,101.989998,102.050003,6623500,102.050003
2015-12-01,101.730003,102.489998,101.120003,102.360001,7545700,102.360001
2015-11-30,102.480003,102.480003,101.239998,101.239998,8983700,101.239998
2015-11-27,102.279999,102.620003,101.790001,102.370003,2353800,102.370003
2015-11-25,102.169998,102.330002,101.959999,101.959999,5400800,101.959999
2015-11-24,101.809998,102.790001,101.809998,102.040001,7492400,102.040001
2015-11-23,102.389999,103.00,102.190002,102.769997,6730600,102.769997
2015-11-20,102.489998,102.800003,102.199997,102.480003,7671500,102.480003
2015-11-19,102.660004,102.68,102.059998,102.489998,5164500,101.739998
2015-11-18,101.529999,102.800003,101.309998,102.669998,7148400,101.918682
2015-11-17,100.379997,101.709999,100.379997,101.50,5124000,100.757245
2015-11-16,100.379997,101.290001,100.040001,101.220001,5755800,100.479295
2015-11-13,100.040001,100.940002,99.739998,99.879997,8517500,99.149097
2015-11-12,101.139999,101.610001,100.220001,100.269997,6918700,99.536243
2015-11-11,101.779999,102.360001,101.50,101.860001,6284700,101.114611
2015-11-10,101.00,101.760002,100.68,101.449997,5114200,100.707608
2015-11-09,101.389999,101.589996,100.550003,100.839996,6625900,100.102071
2015-11-06,101.57,101.919998,100.860001,101.919998,6221100,101.17417
2015-11-05,102.25,102.489998,101.419998,102.330002,6545600,101.581173
2015-11-04,101.900002,102.389999,101.690002,101.940002,5592300,101.194028
2015-11-03,101.839996,102.300003,101.110001,101.959999,6229200,101.213878
2015-11-02,101.18,102.339996,100.839996,102.169998,6297900,101.42234
2015-10-30,101.529999,102.120003,101.010002,101.029999,10520300,100.290683
2015-10-29,100.470001,101.529999,100.120003,101.370003,6340700,100.628199
2015-10-28,100.449997,100.480003,99.50,100.480003,7256300,99.744713
2015-10-27,99.919998,100.900002,99.699997,100.190002,8883200,99.456834
2015-10-26,100.050003,100.279999,99.489998,99.940002,7561600,99.208663
2015-10-23,99.879997,100.879997,99.529999,100.309998,9178900,99.575951
2015-10-22,97.849998,99.809998,97.129997,99.529999,9887900,98.80166
2015-10-21,97.639999,98.220001,97.07,97.629997,7059800,96.915562
2015-10-20,97.949997,98.25,97.309998,97.589996,6041800,96.875854
2015-10-19,98.050003,98.199997,97.309998,97.940002,8725400,97.223299
2015-10-16,97.870003,98.309998,97.400002,98.239998,9110800,97.521099
2015-10-15,95.00,97.349998,94.860001,97.150002,9561900,96.439079
2015-10-14,95.209999,95.959999,94.120003,94.529999,8881900,93.838249
2015-10-13,94.790001,96.230003,94.309998,95.449997,12761900,94.751515
2015-10-12,95.07,96.470001,94.980003,95.989998,8957900,95.287564
2015-10-09,95.139999,95.959999,94.779999,95.370003,8259700,94.672106
2015-10-08,94.709999,95.199997,93.809998,95.080002,7090700,94.384227
2015-10-07,94.260002,95.419998,93.440002,94.980003,9397300,94.28496
2015-10-06,94.519997,94.660004,92.580002,93.419998,8365200,92.736371
2015-10-05,94.190002,94.82,94.080002,94.760002,9419200,94.066569
2015-10-02,92.139999,93.970001,91.839996,93.93,8368100,93.242641
2015-10-01,93.43,93.849998,91.760002,93.169998,9675900,92.4882
