Date,Open,High,Low,Close,Volume,Adj Close
2016-01-07,117.440002,117.970001,115.589996,115.660004,7270300,115.660004
2016-01-06,118.00,119.269997,117.809998,118.400002,6526600,118.400002
2016-01-05,117.410004,119.230003,117.290001,119.199997,6310400,119.199997
2016-01-04,117.25,117.730003,115.870003,117.580002,9688000,117.580002
2015-12-31,118.82,119.18,117.940002,118.139999,3537000,118.139999
2015-12-30,119.639999,119.989998,119.230003,119.43,2389800,119.43
2015-12-29,119.00,120.230003,118.82,120.07,3101400,120.07
2015-12-28,118.099998,118.900002,118.050003,118.75,2777200,118.75
2015-12-24,118.75,118.989998,118.50,118.57,1659300,118.57
2015-12-23,118.019997,118.849998,117.75,118.800003,3510700,118.800003
2015-12-22,117.959999,118.040001,116.639999,117.720001,4079200,117.720001
2015-12-21,116.959999,117.739998,116.610001,117.690002,3340800,117.690002
2015-12-18,116.739998,117.279999,115.889999,116.660004,10311600,116.660004
2015-12-17,118.339996,118.900002,117.489998,117.50,5267000,117.50
2015-12-16,117.489998,118.75,116.489998,117.839996,6257300,117.839996
2015-12-15,117.50,118.239998,116.839996,116.93,6104700,116.93
2015-12-14,116.169998,117.07,114.650002,116.260002,7632000,116.260002
2015-12-11,115.860001,116.610001,115.620003,116.080002,5714800,116.080002
2015-12-10,116.610001,117.510002,116.199997,117.199997,5286800,117.199997
2015-12-09,116.209999,117.300003,115.900002,116.580002,7604700,116.580002
2015-12-08,115.949997,116.860001,115.260002,116.529999,4814200,116.529999
2015-12-07,115.809998,116.510002,115.75,116.419998,4810700,116.419998
2015-12-04,113.75,116.389999,113.419998,116.199997,7778200,116.199997
2015-12-03,113.610001,114.440002,112.910004,113.389999,6558600,113.389999
2015-12-02,114.099998,114.269997,113.449997,113.720001,5692200,113.720001
2015-12-01,114.519997,114.93,113.790001,114.449997,5321900,114.449997
2015-11-30,114.379997,114.489998,113.559998,114.160004,7872000,114.160004
2015-11-27,113.709999,114.389999,113.529999,114.230003,2763700,114.230003
2015-11-25,114.269997,114.919998,113.949997,114.400002,7477200,113.510002
2015-11-24,113.900002,114.559998,113.360001,114.279999,6047700,113.390933
2015-11-23,114.010002,114.900002,113.910004,114.470001,4968400,113.579457
2015-11-20,113.360001,114.169998,113.190002,113.910004,6659400,113.023816
2015-11-19,112.529999,113.709999,112.300003,113.300003,5323500,112.418561
2015-11-18,111.300003,112.589996,110.839996,112.529999,5194500,111.654547
2015-11-17,111.040001,111.82,110.459999,110.940002,6027600,110.076921
2015-11-16,109.849998,111.059998,109.599998,111.059998,6731800,110.195982
2015-11-13,111.849998,112.360001,109.910004,109.970001,8602400,109.114466
2015-11-12,113.50,113.739998,112.059998,112.110001,5893800,111.237816
2015-11-11,113.669998,114.43,113.540001,113.849998,8387800,112.964278
2015-11-10,112.769997,114.989998,110.75,113.220001,12716500,112.339182
2015-11-09,113.449997,113.480003,112.400002,112.93,8423800,112.051437
2015-11-06,112.400002,113.440002,112.160004,113.309998,4615600,112.428478
2015-11-05,112.599998,113.449997,112.150002,112.849998,5059100,111.972057
2015-11-04,112.190002,112.529999,111.309998,112.400002,6797100,111.525561
2015-11-03,111.919998,112.309998,111.269997,112.080002,4584900,111.208051
2015-11-02,112.459999,112.839996,111.230003,112.110001,5663000,111.237816
2015-10-30,112.879997,113.290001,112.25,112.25,6409500,111.376727
2015-10-29,112.660004,112.949997,111.889999,112.620003,3752600,111.743851
2015-10-28,111.690002,112.949997,111.400002,112.940002,4390300,112.061361
2015-10-27,112.269997,112.349998,110.589996,111.639999,10013300,110.771472
2015-10-26,112.230003,113.959999,111.82,112.18,11478600,111.307272
2015-10-23,111.18,112.870003,111.099998,112.589996,11677300,111.714078
